city,tld,count,share_pct
barcelona,org,89,34.1
barcelona,com,74,28.4
barcelona,cat,63,24.1
barcelona,es,8,3.1
barcelona,barcelona,7,2.7
barcelona,net,6,2.3
barcelona,coop,6,2.3
barcelona,com.es,2,0.8
barcelona,info,2,0.8
barcelona,blog,1,0.4
barcelona,zone,1,0.4
barcelona,org.es,1,0.4
barcelona,ong,1,0.4
brighton,org.uk,30,37.0
brighton,org,23,28.4
brighton,com,11,13.6
brighton,co.uk,7,8.6
brighton,gov.uk,2,2.5
brighton,ac.uk,1,1.2
brighton,online,1,1.2
brighton,uk,1,1.2
brighton,coop,1,1.2
brighton,info,1,1.2
brighton,brighton-hove.sch.uk,1,1.2
brighton,blog,1,1.2
brighton,nhs.uk,1,1.2
dublin,ie,55,66.3
dublin,com,18,21.7
dublin,org,4,4.8
dublin,net,3,3.6
dublin,coop,1,1.2
dublin,cloud,1,1.2
dublin,info,1,1.2
london,org,37,32.2
london,org.uk,36,31.3
london,com,16,13.9
london,co.uk,10,8.7
london,gov.uk,7,6.1
london,coop,3,2.6
london,ac.uk,2,1.7
london,london,1,0.9
london,uk,1,0.9
london,ca,1,0.9
london,eu,1,0.9
milan,it,93,57.1
milan,org,37,22.7
milan,com,23,14.1
milan,milano.it,3,1.8
milan,eu,2,1.2
milan,mi.it,1,0.6
milan,ee,1,0.6
milan,charity,1,0.6
milan,net,1,0.6
milan,edu.it,1,0.6
