city,path_depth,count,share_pct
barcelona,0,104,39.8
barcelona,1,58,22.2
barcelona,2,51,19.5
barcelona,3,23,8.8
barcelona,4,10,3.8
barcelona,5,12,4.6
barcelona,6,2,0.8
barcelona,7,1,0.4
brighton,0,17,21.0
brighton,1,33,40.7
brighton,2,16,19.8
brighton,3,6,7.4
brighton,4,6,7.4
brighton,5,2,2.5
brighton,6,1,1.2
dublin,0,24,28.9
dublin,1,31,37.3
dublin,2,16,19.3
dublin,3,9,10.8
dublin,4,2,2.4
dublin,7,1,1.2
london,0,24,20.9
london,1,37,32.2
london,2,37,32.2
london,3,7,6.1
london,4,8,7.0
london,5,2,1.7
milan,0,71,43.6
milan,1,37,22.7
milan,2,26,16.0
milan,3,15,9.2
milan,4,9,5.5
milan,5,3,1.8
milan,6,2,1.2
