city,url,lat,lng,coords_approx,falls_inside_bbox_of,coarse_geo_reasoning
barcelona,https://fundacioferrersustainability.org/es/green-for-good/el-jardi-fenix,41.51,2.36,False,,"41.51 deg N, 2.36 deg E -- temperate latitude band, Europe/North Africa/Middle East longitudes"
barcelona,https://www.fundacionausolan.org/project/stop-hambre,41.28,1.98,False,,"41.28 deg N, 1.98 deg E -- temperate latitude band, Europe/North Africa/Middle East longitudes"
barcelona,https://www.kalart.org/es/descubre-nuestro-jardin-comunitario-cerca-de-barcelona,41.71,2.42,False,,"41.71 deg N, 2.42 deg E -- temperate latitude band, Europe/North Africa/Middle East longitudes"
barcelona,https://www.lesrefardes.coop/es/quienes-somos/somos-red,41.69,1.97,False,,"41.69 deg N, 1.97 deg E -- temperate latitude band, Europe/North Africa/Middle East longitudes"
london,https://transitiontogether.org.uk/eat-grow-share-communities-building-food-resilience,50.43,-3.68,False,,"50.43 deg N, 3.68 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
london,https://www.londonfreedomseedbank.org,50.49,-3.75,False,,"50.49 deg N, 3.75 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
london,https://www.alexandrarose.org.uk/press-release-charity-urges-all-parties-to-commit-to-national-fruit-and-veg-on-prescription-programmes,50.82,-0.14,False,brighton,"50.82 deg N, 0.14 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
london,https://www.foodmatters.org/projects/food-roots-incubator,50.82,-0.14,False,brighton,"50.82 deg N, 0.14 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
london,https://www.thrive.org.uk/get-gardening/seans-story-gardening-for-connection,51.37,-1.0,False,,"51.37 deg N, 1.00 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
london,https://www.neighbourly.com/solution/product-surplus,51.44,-2.58,False,,"51.44 deg N, 2.58 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
london,https://www.yourlocalpantry.co.uk,52.47,-2.03,False,,"52.47 deg N, 2.03 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
london,https://maps.transitionnetwork.org/group/transition-newham,53.33,-6.24,False,dublin,"53.33 deg N, 6.24 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
milan,https://foodforall.charity/,45.59,9.33,False,,"45.59 deg N, 9.33 deg E -- temperate latitude band, Europe/North Africa/Middle East longitudes"
milan,https://nondisolopanemagenta.it/,45.46,8.87,False,,"45.46 deg N, 8.87 deg E -- temperate latitude band, Europe/North Africa/Middle East longitudes"
