domain,n_cities,cities
wordpress.com,5,barcelona;brighton;dublin;london;milan
facebook.com,4,barcelona;dublin;london;milan
home.blog,2,barcelona;brighton
blogspot.com,2,barcelona;brighton
instagram.com,2,barcelona;dublin
wearephenix.com,2,barcelona;milan
santegidio.org,2,barcelona;milan
communitysupportedagriculture.org.uk,2,brighton;london
foodmatters.org,2,brighton;london
foodcycle.org.uk,2,brighton;london
seedsovereignty.info,2,brighton;dublin
sustainablefoodplaces.org,2,brighton;london
ukharvest.org.uk,2,brighton;london
