city,my_decision,ledger_decision,n
barcelona,kept,Retained,42
barcelona,kept,Discarded,190
barcelona,discarded,Retained,0
barcelona,discarded,Discarded,23
brighton,kept,Retained,30
brighton,kept,Discarded,46
brighton,discarded,Retained,0
brighton,discarded,Discarded,5
dublin,kept,Retained,37
dublin,kept,Discarded,31
dublin,discarded,Retained,0
dublin,discarded,Discarded,14
london,kept,Retained,31
london,kept,Discarded,71
london,discarded,Retained,1
london,discarded,Discarded,8
milan,kept,Retained,29
milan,kept,Discarded,116
milan,discarded,Retained,0
milan,discarded,Discarded,15
