city,reason_bucket,n_urls_i_kept
barcelona,inaccessible_or_directory_generic,163
barcelona,archival_or_ended,12
barcelona,outside_city_or_region,7
barcelona,duplicate,5
barcelona,other_or_unclassified,3
brighton,other_or_unclassified,24
brighton,directory_policy_only,7
brighton,inaccessible_only,7
brighton,duplicate,6
brighton,archival_or_ended,2
dublin,other_or_unclassified,27
dublin,directory_policy_only,2
dublin,inaccessible_only,1
dublin,archival_or_ended,1
london,directory_policy_only,33
london,other_or_unclassified,24
london,archival_or_ended,10
london,duplicate,4
milan,other_or_unclassified,43
milan,directory_policy_only,43
milan,outside_city_or_region,14
milan,duplicate,10
milan,archival_or_ended,6
