URL,Lat,Lng
https://www.acra.it/cosa-facciamo/aree-di-intervento/italia-ed-europa/food-hub-cuccagna,45.50,9.19
https://adraitalia.org/regioni/lombardia,45.47,9.21
https://www.desrparcosud.it/il-desr-promuove-lamap/,45.38,9.13
https://www.amat-mi.it/it/notizie/27,45.38,9.15
https://www.area51gs.com/chi-siamo-2,45.38,9.15
https://comunitaprogetto.org/progetti/qubi-baggio,45.48,9.20
https://agriregionieuropa.univpm.it/it/content/article/31/39/lesperienza-degli-orti-urbani-nel-comune-di-milano,45.41,9.21
https://www.agrivis.it/,45.41,9.21
https://www.invetta.org/,45.45,9.18
https://www.assparcosud.org/,45.35,9.16
https://associazionesanbenedetto.it/,45.45,9.14
https://base.milano.it/the-convivial-laboratory-tavolo-scuola-comunita,45.45,9.16
https://latuabanca.bccmilano.it/notizie/53-il-nuovo-hub-contro-lo-spreco-alimentare-di-via-bassini,45.48,9.21
https://www.bancoalimentare.it/,45.49,9.18
https://www.belladentro.org/,45.48,9.21
https://www.comune.rho.mi.it/it-it/avvisi/2022/comunicati-stampa/nasce-la-biblioteca-dei-semi-252076-1-03cf5cd7f0c82d70a0369a1d4ba74a77,45.53,9.02
https://bigreco.it/intorno-a-big/,45.50,9.21
https://www.olinda.org/portfolio/bistrolinda/,45.45,9.24
https://www.coopi.org/it/progetto/contrasto-alla-poverta-nelle28099area-di-milano.html?ln=,45.45,9.24
https://csaveneto.wordpress.com/,45.38,9.13
https://www.csvlombardia.it/milano/milano-comunita-territorio/io-non-butto,45.46,9.18
https://www.capoverde.com/ristorante/,45.49,9.22
https://chiesaturrogorla.it/caritas,,9.19
https://www.caritasambrosiana.it/,45.46,9.19
https://www.santamariarossa.it/caritas-e-missione/caritas,45.50,9.24
https://santostefanosegrate.it/jo/index.php/le-persone/gruppi/caritas/69-caritas-parrocchiale-santo-stefano,45.46,9.19
https://cascinet.it/,45.46,9.24
https://www.cuccagna.org/progetti/radici-di-comunita,45.45,9.21
https://www.cenadellamicizia.it/,45.52,9.16
https://cityangels.it/,45.51,9.16
https://www.cocookinglab.com/,45.48,9.23
https://www.coltivando.polimi.it/,45.50,9.16
https://www.coltivatoridigiustizia.com/,45.40,9.20
https://www.partecipacoop.org/promuovere-il-dono-del-cibo-e-ridurre-lo-spreco-alimentare,45.51,9.13
https://linktr.ee/cisom.milano,45.43,9.20
https://www.crimilano.it/cosa-facciamo/sociale/contrasto-poverta.html,45.47,9.16
https://cuochiacolori.org/#,45.46,9.22
https://www.gsdfoundation.it/cosa-facciamo/progetti/eat-educazione-alimentare,45.44,9.18
https://www.emergency.it/progetti/food-hub-cuccagna-milano,45.47,9.19
https://www.effata-apriti.org/,45.48,9.22
https://larotonda.org/,45.52,9.11
https://farsiprossimo.it/project/emporio-della-solidarieta-milano-barona/,45.42,9.16
https://www.equoevento.org/,45.52,9.17
https://www.eufemiaemporio.it/,45.52,9.17
https://www.fondazioneauprema.it/it/progetto/social-market-nord-milano,45.44,9.20
https://www.fondazionemarchesiniact.org/progetto/pane-quotidiano,,
https://www.fondazionecariplo.it/it/progetti/intersettoriali/lacittaintorno.html,45.47,9.19
https://www.fondazionebertini.it/,45.50,9.23
https://www.comune.milano.it/web/milanoaiuta/donazioni,45.46,9.19
https://foodforlifeaps.it/,45.46,9.19
https://foodhubittico.it/,45.45,9.23
https://foodrelations.acra.it/,45.47,9.20
https://foodwave.eu/,,9.33
https://foodforall.charity/,45.59,9.33
https://www.foodforsoul.it/it/,45.45,9.23
https://www.sogemispa.it/wp-assets/2021/12/FoodPolicyMilano-Policy-Brief-Hub-Spreco-Alimentare-HUB-FOODY-ZERO-SPRECHI-V2-1.pdf,45.45,9.23
https://www.fratellisanfrancesco.it/,45.47,9.19
https://www.fuoriedentro.it/,45.50,9.19
https://www.cantiere.org/sms/gasp/,45.48,9.14
https://www.facebook.com/people/GiambellOrto/,45.44,9.13
https://atelierdelleverdure.it/progetti/giardino-lea-garofalo/,45.48,9.18
https://parcosegantini.it/2013/11/27/il-giardino-edibile-di-parco-segantini/,45.44,9.17
https://www.agipsyinthekitchen.com/,45.47,9.24
https://www.parcotrotter.org/news/index.php?option=com_content&view=category&layout=blog&id=67&Itemid=93,45.49,9.22
https://www.gustop.it/,45.41,9.17
https://abbaziadichiaravalle.it/hortus/,45.41,9.23
https://www.humanaitalia.org/?option=com_content&task=view&id=52&Itemid=49,45.46,9.17
https://arche.it/cosa-facciamo/sostegno-alle-famiglie/humus/,45.52,9.13
https://ibva.it/,45.45,9.18
https://coopilcarro.it/,45.46,9.20
https://www.ilgiardinodegliaromi.org/,45.52,9.16
https://www.ciqmilano.it/il-giardino-delle-meraviglie/,45.43,9.22
https://www.santamarialiberatrice.org/il-giardino-di-eden/,45.43,9.19
https://www.ingalera.it/,45.51,9.10
https://www.fucinevulcano.org/iniziative,45.43,9.22
https://iononbutto.it/,45.46,9.18
https://isolapepeverde.org/,45.48,9.18
https://www.reteitalianacsa.it/,,
https://www.italmercati.it/2025/07/16/milano-inaugurata-oggi-la-nuova-sede-dellhub-di-aiuto-alimentare-foody-zero-sprechi-allinterno-del-mercato-agroalimentare,,9.16
https://www.olinda.org/portfolio/jodok/,45.52,9.16
https://www.kayros.it/cosa-facciamo,45.51,9.28
https://www.lacordata.it/,45.44,9.15
https://www.dynamoscopio.it/portfolio_page/la-dispensa-del-giambellino/,45.44,9.13
https://www.milanoinazione.org/project/lamiaterra/,45.51,9.13
https://www.laterratrema.org/,45.50,9.20
https://www.lavitalba.it/comunicazioni,45.42,9.20
https://www.arpavolontariato.it/laboratorio-di-cucina/,45.46,9.20
https://laboramilano.it/,45.45,9.14
https://www.lastminutemarket.it/,45.45,9.14
https://www.lesuoredellamensa.net/,45.48,9.22
https://rape.noblogs.org/,,9.17
https://www.facebook.com/locandaallamano/,45.47,9.17
https://www.mamafood.it/,45.50,9.21
https://www.mahksc.com/,45.45,9.17
https://decrescitafelice.it/2020/11/labbarona-repair-cafe-di-milano-collaborazione-mdf,45.46,9.10
https://municipio7milano.it/hub-alimentare-selinunte,45.47,9.08
https://azionecontrolafame.it/campagne/maipiufame/il-nostro-impegno-in-italia/,45.46,9.14
https://www.manitese.it/,45.47,9.19
https://maremilano.org/,45.46,9.12
https://www.milanoristorazione.it/39-progetti-conclusi/2314-progetti-di-contenimento-sprechi-alimentari-io-non-spreco-sacchetto-salva-merenda-adotta-un-nonno-a-pranzo-collaborazione-con-siticibo-recupero-eccedenze-di-produzione,45.44,9.14
https://www.facebook.com/MilanoSalvacibo/,45.44,9.14
https://icmontessori.edu.it/index.php/scheda-progetto/primaria-montessorto-orto-didattico-inclusivo/,45.54,9.12
https://www.mutuosoccorsomilano.it/,45.49,9.20
