row_type,city,status,section_heading,raw_number,sentence,n_pipeline_only,n_b1_only,n_both,n_union,overlap_pct
summary,barcelona,,,,,12.0,9.0,56.0,77.0,72.7
summary,brighton,,,,,14.0,9.0,46.0,69.0,66.7
summary,dublin,,,,,7.0,15.0,51.0,73.0,69.9
summary,london,,,,,13.0,8.0,56.0,77.0,72.7
summary,milan,,,,,3.0,13.0,51.0,67.0,76.1
summary,ALL_POOLED,,,,,49.0,54.0,260.0,363.0,71.6
diff,barcelona,pipeline_only,Geographic Distribution,11,"These three districts, classified as ""green"" (high-density), collectively host 105 FSIs, reflecting a stark contrast with the ""red"" (low-density) districts of Les Corts (11), Nou Barris (7), and Sant Andreu (6), which together host only 24 FSIs.",,,,,
diff,barcelona,pipeline_only,Geographic Distribution,44%,"Barcelona hosts 237 Food Sharing Initiatives (FSIs) across 10 postal districts, with the highest concentrations found in Ciutat Vella (45), Sants-Montjuïc (31), and Eixample (29), which together account for 44% of all FSIs in the city.",,,,,
diff,barcelona,pipeline_only,Geographic Distribution,7,"These three districts, classified as ""green"" (high-density), collectively host 105 FSIs, reflecting a stark contrast with the ""red"" (low-density) districts of Les Corts (11), Nou Barris (7), and Sant Andreu (6), which together host only 24 FSIs.",,,,,
diff,barcelona,pipeline_only,Notable Initiatives,5%,"While 12 FSIs incorporate educational components, such as workshops or training programs, this represents only 5% of the total, highlighting a disparity between educational and event-driven initiatives.",,,,,
diff,barcelona,pipeline_only,Notable Initiatives,53%,"Of these, 125 FSIs are classified as high-popularity, accounting for 53% of the total dataset, indicating widespread community engagement.",,,,,
diff,barcelona,pipeline_only,Operational and Funding Models,96%,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the majority (227, or 96%) being non-commercial, voluntary, or charity-based.",,,,,
diff,barcelona,pipeline_only,Types of Food Sharing Initiatives,13,"Meanwhile, the relatively small number of food_education FSIs (13, 5.5%) underscores a potential underinvestment in long-term capacity-building, despite the 105 event-organizing FSIs suggesting a preference for short-term engagement strategies.",,,,,
diff,barcelona,pipeline_only,Types of Food Sharing Initiatives,17,"Food_sharing initiatives (33, 13.9%) and meals_service programs (17, 7.2%) represent smaller but distinct subgroups, reflecting diverse approaches to food redistribution and consumption.",,,,,
diff,barcelona,pipeline_only,Types of Food Sharing Initiatives,3.4%,"The ""other"" category (62, 26.2%), though numerically dominant, remains the least defined in terms of specific activities, contrasting with the more clearly categorized ""food_bank"" (11, 4.6%) and ""food_swapping"" (8, 3.4%) initiatives.",,,,,
diff,barcelona,pipeline_only,Types of Food Sharing Initiatives,5.5%,"Notably, only 12 FSIs (5.5%) integrate educational components, suggesting a gap between outreach efforts and formal learning opportunities within the sector.",,,,,
diff,barcelona,pipeline_only,Types of Food Sharing Initiatives,5.5%,"Meanwhile, the relatively small number of food_education FSIs (13, 5.5%) underscores a potential underinvestment in long-term capacity-building, despite the 105 event-organizing FSIs suggesting a preference for short-term engagement strategies.",,,,,
diff,barcelona,pipeline_only,Types of Food Sharing Initiatives,7.2%,"Food_sharing initiatives (33, 13.9%) and meals_service programs (17, 7.2%) represent smaller but distinct subgroups, reflecting diverse approaches to food redistribution and consumption.",,,,,
diff,barcelona,pipeline_only,Types of Food Sharing Initiatives,8,"The ""other"" category (62, 26.2%), though numerically dominant, remains the least defined in terms of specific activities, contrasting with the more clearly categorized ""food_bank"" (11, 4.6%) and ""food_swapping"" (8, 3.4%) initiatives.",,,,,
diff,barcelona,b1_only,Geographic Distribution,1.2,"The disparity between green and red districts is stark: green areas host 4.3 FSIs per square kilometer on average, compared to 1.2 in red districts, based on official postcode boundary polygons.",,,,,
diff,barcelona,b1_only,Geographic Distribution,4.3,"The disparity between green and red districts is stark: green areas host 4.3 FSIs per square kilometer on average, compared to 1.2 in red districts, based on official postcode boundary polygons.",,,,,
diff,barcelona,b1_only,Geographic Distribution,44.3%,"These three districts, designated as green (high-density) areas, collectively represent 44.3% of all FSIs in the city, reflecting a clear spatial clustering in central and historically urbanized zones.",,,,,
diff,barcelona,b1_only,Operational and Funding Models,224,"Notably, just 3 FSIs are volunteer-based, while the remaining 224 rely on other staffing models, indicating limited reliance on unpaid labor.",,,,,
diff,barcelona,b1_only,Reach and Activity,237,"Barcelona hosts 125 high-activity Food Sharing Initiatives (FSIs) and 112 low-activity FSIs, totaling 237 FSIs across the city.",,,,,
diff,barcelona,b1_only,Reach and Activity,3,"Target audiences are broadly defined, with general public (23 FSIs) and elderly individuals (36 FSIs) being the most frequently cited groups, followed by low-income populations (8 FSIs), students (2 FSIs), and children (3 FSIs).",,,,,
diff,barcelona,b1_only,Types of Food Sharing Initiatives,1.3%,"The ""other"" category’s dominance (26.2%) contrasts with the relatively small but specialized presence of food banks (11, 4.6%) and food gifting (3, 1.3%), which may reflect niche or underreported activities.",,,,,
diff,barcelona,b1_only,Types of Food Sharing Initiatives,3,"The ""other"" category’s dominance (26.2%) contrasts with the relatively small but specialized presence of food banks (11, 4.6%) and food gifting (3, 1.3%), which may reflect niche or underreported activities.",,,,,
