city,condition,section_key,section_title,raw_number,presence_count,presence_category,cross_condition_note
barcelona,full,geographic,Geographic Distribution,7,1,in_exactly_1_of_3,n/a
barcelona,full,operational,Operational and Funding Models,237,3,in_all_3,stable_in_both
barcelona,full,types,Types of Food Sharing Initiatives,3.4%,3,in_all_3,stable_full_absent_from_all_b1
barcelona,full,reach,Reach and Activity,8,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,3.4%,2,in_exactly_2_of_3,n/a
barcelona,full,geographic,Geographic Distribution,45,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,47,3,in_all_3,stable_in_both
barcelona,full,types,Types of Food Sharing Initiatives,114,2,in_exactly_2_of_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,5.5%,2,in_exactly_2_of_3,n/a
barcelona,full,digital,Digital Presence and Accessibility,237,3,in_all_3,stable_in_both
barcelona,full,geographic,Geographic Distribution,11,1,in_exactly_1_of_3,n/a
barcelona,full,digital,Digital Presence and Accessibility,35,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,2.5%,2,in_exactly_2_of_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,51.9%,3,in_all_3,n/a
barcelona,full,geographic,Geographic Distribution,6,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,4.2%,2,in_exactly_2_of_3,n/a
barcelona,full,notable,Notable Initiatives,53%,3,in_all_3,stable_full_absent_from_all_b1
barcelona,full,types,Types of Food Sharing Initiatives,8,3,in_all_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,41,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,8,3,in_all_3,stable_in_both
barcelona,full,geographic,Geographic Distribution,105,3,in_all_3,stable_in_both
barcelona,full,geographic,Geographic Distribution,17,2,in_exactly_2_of_3,n/a
barcelona,full,operational,Operational and Funding Models,9,3,in_all_3,stable_in_both
barcelona,full,digital,Digital Presence and Accessibility,18,3,in_all_3,stable_in_both
barcelona,full,notable,Notable Initiatives,29,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,1,3,in_all_3,n/a
barcelona,full,geographic,Geographic Distribution,31,3,in_all_3,stable_in_both
barcelona,full,types,Types of Food Sharing Initiatives,62,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,0.8%,2,in_exactly_2_of_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,13,2,in_exactly_2_of_3,n/a
barcelona,full,geographic,Geographic Distribution,237,3,in_all_3,stable_in_both
barcelona,full,reach,Reach and Activity,125,3,in_all_3,stable_in_both
barcelona,full,reach,Reach and Activity,30,3,in_all_3,stable_in_both
barcelona,full,notable,Notable Initiatives,125,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,227,3,in_all_3,stable_in_both
barcelona,full,reach,Reach and Activity,112,3,in_all_3,stable_in_both
barcelona,full,types,Types of Food Sharing Initiatives,123,3,in_all_3,stable_in_both
barcelona,full,geographic,Geographic Distribution,26,2,in_exactly_2_of_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,26.2%,3,in_all_3,stable_in_both
barcelona,full,reach,Reach and Activity,2087,3,in_all_3,stable_in_both
barcelona,full,geographic,Geographic Distribution,16,2,in_exactly_2_of_3,n/a
barcelona,full,operational,Operational and Funding Models,6,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,31.2%,2,in_exactly_2_of_3,n/a
barcelona,full,notable,Notable Initiatives,45,3,in_all_3,stable_in_both
barcelona,full,types,Types of Food Sharing Initiatives,5.1%,1,in_exactly_1_of_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,12,3,in_all_3,stable_in_both
barcelona,full,types,Types of Food Sharing Initiatives,20.7%,3,in_all_3,stable_in_both
barcelona,full,types,Types of Food Sharing Initiatives,1.3%,3,in_all_3,n/a
barcelona,full,geographic,Geographic Distribution,10,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,2,3,in_all_3,n/a
barcelona,full,operational,Operational and Funding Models,19.4%,2,in_exactly_2_of_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,17,3,in_all_3,n/a
barcelona,full,reach,Reach and Activity,23,3,in_all_3,stable_in_both
barcelona,full,types,Types of Food Sharing Initiatives,49,3,in_all_3,stable_in_both
barcelona,full,reach,Reach and Activity,3,3,in_all_3,stable_in_both
barcelona,full,notable,Notable Initiatives,12,3,in_all_3,stable_in_both
barcelona,full,geographic,Geographic Distribution,24,3,in_all_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,48.1%,2,in_exactly_2_of_3,n/a
barcelona,full,operational,Operational and Funding Models,74,3,in_all_3,stable_in_both
barcelona,full,notable,Notable Initiatives,105,3,in_all_3,stable_in_both
barcelona,full,types,Types of Food Sharing Initiatives,7.2%,3,in_all_3,stable_full_absent_from_all_b1
barcelona,full,operational,Operational and Funding Models,20.0%,2,in_exactly_2_of_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,17.3%,3,in_all_3,stable_in_both
barcelona,full,types,Types of Food Sharing Initiatives,237,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,95.8%,2,in_exactly_2_of_3,n/a
barcelona,full,operational,Operational and Funding Models,0.4%,2,in_exactly_2_of_3,n/a
barcelona,full,geographic,Geographic Distribution,29,3,in_all_3,stable_in_both
barcelona,full,types,Types of Food Sharing Initiatives,33,3,in_all_3,stable_in_both
barcelona,full,notable,Notable Initiatives,31,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,3.8%,2,in_exactly_2_of_3,n/a
barcelona,full,geographic,Geographic Distribution,44%,2,in_exactly_2_of_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,3,3,in_all_3,n/a
barcelona,full,operational,Operational and Funding Models,3,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,1.3%,2,in_exactly_2_of_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,105,3,in_all_3,stable_in_both
barcelona,full,notable,Notable Initiatives,237,3,in_all_3,stable_in_both
barcelona,full,reach,Reach and Activity,36,3,in_all_3,stable_in_both
barcelona,full,geographic,Geographic Distribution,14,1,in_exactly_1_of_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,44.3%,3,in_all_3,n/a
barcelona,full,geographic,Geographic Distribution,73,1,in_exactly_1_of_3,n/a
barcelona,full,types,Types of Food Sharing Initiatives,13.9%,3,in_all_3,stable_in_both
barcelona,full,operational,Operational and Funding Models,10,3,in_all_3,n/a
barcelona,full,operational,Operational and Funding Models,46,3,in_all_3,stable_in_both
