city,condition,replicate,n_claims,n_auditable_direct,n_auditable_derived,n_not_machine_auditable,auditability_rate
barcelona,full,1,79,71,8,0,1.0
barcelona,full,2,95,76,19,0,1.0
barcelona,full,3,95,76,19,0,1.0
barcelona,b1,1,90,79,11,0,1.0
barcelona,b1,2,80,70,8,2,0.975
barcelona,b1,3,80,70,8,2,0.975
brighton,full,1,78,68,9,1,0.9872
brighton,full,2,77,67,9,1,0.987
brighton,full,3,77,67,9,1,0.987
brighton,b1,1,93,79,14,0,1.0
brighton,b1,2,81,73,8,0,1.0
brighton,b1,3,81,73,8,0,1.0
dublin,full,1,70,67,2,1,0.9857
dublin,full,2,68,66,2,0,1.0
dublin,full,3,68,66,2,0,1.0
dublin,b1,1,88,83,4,1,0.9886
dublin,b1,2,82,71,10,1,0.9878
dublin,b1,3,82,71,10,1,0.9878
london,full,1,99,81,11,7,0.9293
london,full,2,77,75,2,0,1.0
london,full,3,77,75,2,0,1.0
london,b1,1,94,85,9,0,1.0
london,b1,2,93,83,10,0,1.0
london,b1,3,93,83,10,0,1.0
milan,full,1,73,67,6,0,1.0
milan,full,2,78,69,9,0,1.0
milan,full,3,78,69,9,0,1.0
milan,b1,1,86,71,14,1,0.9884
milan,b1,2,77,67,10,0,1.0
milan,b1,3,77,67,10,0,1.0
