city,comparison_type,rep_a,rep_b,level,n_only_a,n_only_b,n_both,n_union,overlap_pct
barcelona,full_full,1,2,whole_report,5,19,59,83,71.1
barcelona,full_full,1,2,section:geographic,4,4,8,16,50.0
barcelona,full_full,1,2,section:types,1,4,20,25,80.0
barcelona,full_full,1,2,section:operational,0,11,12,23,52.2
barcelona,full_full,1,2,section:reach,0,0,8,8,100.0
barcelona,full_full,1,2,section:digital,0,0,3,3,100.0
barcelona,full_full,1,2,section:notable,0,0,8,8,100.0
barcelona,full_full,1,3,whole_report,5,19,59,83,71.1
barcelona,full_full,1,3,section:geographic,4,4,8,16,50.0
barcelona,full_full,1,3,section:types,1,4,20,25,80.0
barcelona,full_full,1,3,section:operational,0,11,12,23,52.2
barcelona,full_full,1,3,section:reach,0,0,8,8,100.0
barcelona,full_full,1,3,section:digital,0,0,3,3,100.0
barcelona,full_full,1,3,section:notable,0,0,8,8,100.0
barcelona,full_full,2,3,whole_report,0,0,78,78,100.0
barcelona,full_full,2,3,section:geographic,0,0,12,12,100.0
barcelona,full_full,2,3,section:types,0,0,24,24,100.0
barcelona,full_full,2,3,section:operational,0,0,23,23,100.0
barcelona,full_full,2,3,section:reach,0,0,8,8,100.0
barcelona,full_full,2,3,section:digital,0,0,3,3,100.0
barcelona,full_full,2,3,section:notable,0,0,8,8,100.0
barcelona,b1_b1,1,2,whole_report,12,9,56,77,72.7
barcelona,b1_b1,1,2,section:geographic,3,2,11,16,68.8
barcelona,b1_b1,1,2,section:types,6,3,13,22,59.1
barcelona,b1_b1,1,2,section:operational,3,4,9,16,56.2
barcelona,b1_b1,1,2,section:reach,0,0,10,10,100.0
barcelona,b1_b1,1,2,section:digital,0,0,3,3,100.0
barcelona,b1_b1,1,2,section:notable,0,0,10,10,100.0
barcelona,b1_b1,1,3,whole_report,12,9,56,77,72.7
barcelona,b1_b1,1,3,section:geographic,3,2,11,16,68.8
barcelona,b1_b1,1,3,section:types,6,3,13,22,59.1
barcelona,b1_b1,1,3,section:operational,3,4,9,16,56.2
