scope,comparison_type,city,n,mean,median,min,max
pooled_all_cities,full_full,,15,87.28,87.1,68.9,100.0
per_city,full_full,barcelona,3,80.73,71.1,71.1,100.0
per_city,full_full,brighton,3,91.4,87.1,87.1,100.0
per_city,full_full,dublin,3,88.87,83.3,83.3,100.0
per_city,full_full,london,3,79.27,68.9,68.9,100.0
per_city,full_full,milan,3,96.13,94.2,94.2,100.0
pooled_all_cities,b1_b1,,15,85.91,82.2,72.7,100.0
per_city,b1_b1,barcelona,3,81.8,72.7,72.7,100.0
per_city,b1_b1,brighton,3,89.4,84.1,84.1,100.0
per_city,b1_b1,dublin,3,85.87,78.8,78.8,100.0
per_city,b1_b1,london,3,88.13,82.2,82.2,100.0
per_city,b1_b1,milan,3,84.33,76.5,76.5,100.0
pooled_all_cities,full_b1,,45,68.45,68.2,60.7,76.0
per_city,full_b1,barcelona,9,63.24,61.2,60.7,76.0
per_city,full_b1,brighton,9,67.1,68.1,64.8,68.2
per_city,full_b1,dublin,9,66.53,64.6,64.6,71.8
per_city,full_b1,london,9,72.64,72.2,71.2,75.4
per_city,full_b1,milan,9,72.73,72.8,71.4,73.4
descriptive_contrast,full_b1_minus_pooled_within,,75,-18.14,,,
original_one_shot_reference,pipeline_vs_b1_original_report,ALL_POOLED,1,71.6,71.6,71.6,71.6
