section_key,section_title,comparison_type,n,mean,median,min,max
geographic,Geographic Distribution,full_full,15,73.08,66.7,30.0,100.0
geographic,Geographic Distribution,b1_b1,15,73.87,68.8,37.5,100.0
geographic,Geographic Distribution,full_b1,45,55.82,57.1,22.7,78.6
types,Types of Food Sharing Initiatives,full_full,15,85.79,86.7,60.0,100.0
types,Types of Food Sharing Initiatives,b1_b1,15,77.77,66.7,54.5,100.0
types,Types of Food Sharing Initiatives,full_b1,45,66.7,62.5,52.6,86.7
operational,Operational and Funding Models,full_full,15,87.56,92.3,52.2,100.0
operational,Operational and Funding Models,b1_b1,15,87.55,90.0,56.2,100.0
operational,Operational and Funding Models,full_b1,45,75.22,88.9,38.5,100.0
reach,Reach and Activity,full_full,15,100.0,100.0,100.0,100.0
reach,Reach and Activity,b1_b1,15,100.0,100.0,100.0,100.0
reach,Reach and Activity,full_b1,45,80.96,80.0,66.7,100.0
digital,Digital Presence and Accessibility,full_full,15,100.0,100.0,100.0,100.0
digital,Digital Presence and Accessibility,b1_b1,15,100.0,100.0,100.0,100.0
digital,Digital Presence and Accessibility,full_b1,45,100.0,100.0,100.0,100.0
notable,Notable Initiatives,full_full,15,100.0,100.0,100.0,100.0
notable,Notable Initiatives,b1_b1,15,100.0,100.0,100.0,100.0
notable,Notable Initiatives,full_b1,45,73.08,70.6,56.2,87.5
