city,comparison_type,rep_a,rep_b,level,char_similarity
barcelona,full_full,1,2,whole_report,0.596
barcelona,full_full,1,2,section:geographic,0.1755
barcelona,full_full,1,2,section:types,0.2485
barcelona,full_full,1,2,section:operational,0.1694
barcelona,full_full,1,2,section:reach,1.0
barcelona,full_full,1,2,section:digital,1.0
barcelona,full_full,1,2,section:notable,1.0
barcelona,full_full,1,3,whole_report,0.596
barcelona,full_full,1,3,section:geographic,0.1755
barcelona,full_full,1,3,section:types,0.2485
barcelona,full_full,1,3,section:operational,0.1694
barcelona,full_full,1,3,section:reach,1.0
barcelona,full_full,1,3,section:digital,1.0
barcelona,full_full,1,3,section:notable,1.0
barcelona,full_full,2,3,whole_report,1.0
barcelona,full_full,2,3,section:geographic,1.0
barcelona,full_full,2,3,section:types,1.0
barcelona,full_full,2,3,section:operational,1.0
barcelona,full_full,2,3,section:reach,1.0
barcelona,full_full,2,3,section:digital,1.0
barcelona,full_full,2,3,section:notable,1.0
barcelona,b1_b1,1,2,whole_report,0.2613
barcelona,b1_b1,1,2,section:geographic,0.35
barcelona,b1_b1,1,2,section:types,0.202
barcelona,b1_b1,1,2,section:operational,0.2687
barcelona,b1_b1,1,2,section:reach,1.0
barcelona,b1_b1,1,2,section:digital,1.0
barcelona,b1_b1,1,2,section:notable,1.0
barcelona,b1_b1,1,3,whole_report,0.2613
barcelona,b1_b1,1,3,section:geographic,0.35
barcelona,b1_b1,1,3,section:types,0.202
barcelona,b1_b1,1,3,section:operational,0.2687
barcelona,b1_b1,1,3,section:reach,1.0
barcelona,b1_b1,1,3,section:digital,1.0
barcelona,b1_b1,1,3,section:notable,1.0
barcelona,b1_b1,2,3,whole_report,1.0
barcelona,b1_b1,2,3,section:geographic,1.0
barcelona,b1_b1,2,3,section:types,1.0
barcelona,b1_b1,2,3,section:operational,1.0
barcelona,b1_b1,2,3,section:reach,1.0
barcelona,b1_b1,2,3,section:digital,1.0
barcelona,b1_b1,2,3,section:notable,1.0
barcelona,full_b1,1,1,whole_report,0.0695
barcelona,full_b1,1,1,section:geographic,0.175
barcelona,full_b1,1,1,section:types,0.1052
barcelona,full_b1,1,1,section:operational,0.1594
barcelona,full_b1,1,1,section:reach,0.1685
barcelona,full_b1,1,1,section:digital,1.0
barcelona,full_b1,1,1,section:notable,0.1396
barcelona,full_b1,1,2,whole_report,0.0776
barcelona,full_b1,1,2,section:geographic,0.2588
barcelona,full_b1,1,2,section:types,0.1254
barcelona,full_b1,1,2,section:operational,0.1704
barcelona,full_b1,1,2,section:reach,0.1685
barcelona,full_b1,1,2,section:digital,1.0
barcelona,full_b1,1,2,section:notable,0.1396
barcelona,full_b1,1,3,whole_report,0.0776
barcelona,full_b1,1,3,section:geographic,0.2588
barcelona,full_b1,1,3,section:types,0.1254
barcelona,full_b1,1,3,section:operational,0.1704
barcelona,full_b1,1,3,section:reach,0.1685
barcelona,full_b1,1,3,section:digital,1.0
barcelona,full_b1,1,3,section:notable,0.1396
barcelona,full_b1,2,1,whole_report,0.3173
barcelona,full_b1,2,1,section:geographic,0.3756
barcelona,full_b1,2,1,section:types,0.1376
barcelona,full_b1,2,1,section:operational,0.1541
barcelona,full_b1,2,1,section:reach,0.1685
barcelona,full_b1,2,1,section:digital,1.0
barcelona,full_b1,2,1,section:notable,0.1396
barcelona,full_b1,2,2,whole_report,0.332
barcelona,full_b1,2,2,section:geographic,0.3381
barcelona,full_b1,2,2,section:types,0.1855
barcelona,full_b1,2,2,section:operational,0.1264
barcelona,full_b1,2,2,section:reach,0.1685
barcelona,full_b1,2,2,section:digital,1.0
barcelona,full_b1,2,2,section:notable,0.1396
barcelona,full_b1,2,3,whole_report,0.332
barcelona,full_b1,2,3,section:geographic,0.3381
barcelona,full_b1,2,3,section:types,0.1855
barcelona,full_b1,2,3,section:operational,0.1264
barcelona,full_b1,2,3,section:reach,0.1685
barcelona,full_b1,2,3,section:digital,1.0
barcelona,full_b1,2,3,section:notable,0.1396
barcelona,full_b1,3,1,whole_report,0.3173
barcelona,full_b1,3,1,section:geographic,0.3756
barcelona,full_b1,3,1,section:types,0.1376
barcelona,full_b1,3,1,section:operational,0.1541
barcelona,full_b1,3,1,section:reach,0.1685
barcelona,full_b1,3,1,section:digital,1.0
barcelona,full_b1,3,1,section:notable,0.1396
barcelona,full_b1,3,2,whole_report,0.332
barcelona,full_b1,3,2,section:geographic,0.3381
barcelona,full_b1,3,2,section:types,0.1855
barcelona,full_b1,3,2,section:operational,0.1264
barcelona,full_b1,3,2,section:reach,0.1685
barcelona,full_b1,3,2,section:digital,1.0
barcelona,full_b1,3,2,section:notable,0.1396
barcelona,full_b1,3,3,whole_report,0.332
barcelona,full_b1,3,3,section:geographic,0.3381
barcelona,full_b1,3,3,section:types,0.1855
barcelona,full_b1,3,3,section:operational,0.1264
barcelona,full_b1,3,3,section:reach,0.1685
barcelona,full_b1,3,3,section:digital,1.0
barcelona,full_b1,3,3,section:notable,0.1396
brighton,full_full,1,2,whole_report,0.6164
brighton,full_full,1,2,section:geographic,0.2093
brighton,full_full,1,2,section:types,0.2069
brighton,full_full,1,2,section:operational,0.1058
brighton,full_full,1,2,section:reach,1.0
brighton,full_full,1,2,section:digital,1.0
brighton,full_full,1,2,section:notable,1.0
brighton,full_full,1,3,whole_report,0.6164
brighton,full_full,1,3,section:geographic,0.2093
brighton,full_full,1,3,section:types,0.2069
brighton,full_full,1,3,section:operational,0.1058
brighton,full_full,1,3,section:reach,1.0
brighton,full_full,1,3,section:digital,1.0
brighton,full_full,1,3,section:notable,1.0
brighton,full_full,2,3,whole_report,1.0
brighton,full_full,2,3,section:geographic,1.0
brighton,full_full,2,3,section:types,1.0
