city,system,n_claims,n_auditable_direct,n_auditable_derived,n_not_machine_auditable,pct_auditable_direct,pct_auditable_derived,pct_not_machine_auditable,auditability_rate
barcelona,pipeline,86,76,10,0,88.4,11.6,0.0,1.0
barcelona,baseline,43,6,5,32,14.0,11.6,74.4,0.2558
brighton,pipeline,78,68,9,1,87.2,11.5,1.3,0.9872
brighton,baseline,41,7,3,31,17.1,7.3,75.6,0.2439
dublin,pipeline,77,72,5,0,93.5,6.5,0.0,1.0
dublin,baseline,44,9,0,35,20.5,0.0,79.5,0.2045
london,pipeline,99,81,11,7,81.8,11.1,7.1,0.9293
london,baseline,39,12,2,25,30.8,5.1,64.1,0.359
milan,pipeline,73,67,6,0,91.8,8.2,0.0,1.0
milan,baseline,55,13,1,41,23.6,1.8,74.5,0.2545
barcelona,b1,86,76,8,2,88.4,9.3,2.3,0.9767
brighton,b1,84,75,9,0,89.3,10.7,0.0,1.0
dublin,b1,91,84,7,0,92.3,7.7,0.0,1.0
london,b1,86,74,12,0,86.0,14.0,0.0,1.0
milan,b1,77,66,11,0,85.7,14.3,0.0,1.0
barcelona,baseline_v2,71,18,3,50,25.4,4.2,70.4,0.2958
brighton,baseline_v2,75,15,12,48,20.0,16.0,64.0,0.36
dublin,baseline_v2,54,6,8,40,11.1,14.8,74.1,0.2593
london,baseline_v2,54,13,5,36,24.1,9.3,66.7,0.3333
milan,baseline_v2,45,8,6,31,17.8,13.3,68.9,0.3111
