# Supersedes e2_flags.csv. CS-1/CS-4 widened to match count/percentage
# phrasings used by all four systems; number tokeniser corrected for
# delimiter commas. Covers pipeline, b1, baseline (v1), baseline_v2.
city,system,check,section_heading,sentence,detail,VERDICT,NOTE
barcelona,pipeline,CS-5,Geographic Distribution,"However, the absence of per capita data limits analysis of initiative density relative to population size, leaving questions about equity in resource distribution unanswered.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
barcelona,b1,CS-5,Geographic Distribution,"However, the absence of per capita FSI density data limits deeper analysis of whether these numbers reflect population size or other factors.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
barcelona,b1,CS-2,Types of Food Sharing Initiatives,"Community gardens (41, 17.3%) and food-sharing platforms (33, 13.9%) form the next most common types, indicating a focus on localized food production and redistribution.",keyword 'most' near 13.9% -> 13.90% of total=237 (<=50%),FP,"Followed by ""other"" (62, 26.2%) and ""unknown"" (49, 20.7%), indicating NEXT most common types"
barcelona,b1,CS-2,Reach and Activity,"Target audiences are broadly defined, with general public (23 FSIs) and elderly individuals (36 FSIs) being the most frequently cited groups, followed by low-income populations (8 FSIs), students (2 FSIs), and children (3 FSIs).",keyword 'most' near 36 -> 15.19% of total=237 (<=50%),FP,"most among the cited groups not all FSIs, it could be that not all FSIs have cited groups"
brighton,pipeline,CS-5,Geographic Distribution,"The absence of per capita FSI density data, due to reliance on census population figures, limits deeper analysis of equity in initiative distribution.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
brighton,pipeline,CS-5,Geographic Distribution,"The absence of per capita FSI density data, due to reliance on census population figures, limits deeper analysis of equity in initiative distribution.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
brighton,b1,CS-5,Geographic Distribution,"The use of official postcode boundary polygons and GPS coordinates ensures precise spatial analysis, though data gaps remain in per capita FSI density due to the absence of census population data.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
brighton,b1,CS-5,Geographic Distribution,"The use of official postcode boundary polygons and GPS coordinates ensures precise spatial analysis, though data gaps remain in per capita FSI density due to the absence of census population data.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
brighton,b1,CS-5,Geographic Distribution,"However, without per capita data, it remains unclear whether BN2’s high numbers reflect greater need, higher participation, or simply larger population size.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
dublin,pipeline,CS-5,Geographic Distribution,"The absence of per capita FSI density data limits deeper analysis of equity in access, but the stark contrast between districts with 15 FSIs and those with only 1 implies uneven resource allocation or differing community engagement levels.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
dublin,pipeline,CS-2,Types of Food Sharing Initiatives,"Over half (33) of these initiatives emphasize sustainability, and 31 incorporate educational components, highlighting a strong alignment with environmental and learning objectives.",keyword 'Over half' near 33 -> 47.83% of total=69 (<=50%),TP,
dublin,b1,CS-5,Geographic Distribution,"The absence of per capita FSI density data limits deeper analysis of equity in access, though the clustering in green districts aligns with patterns observed in other European cities where FSIs thrive in densely populated zones.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
dublin,b1,CS-2,Types of Food Sharing Initiatives,"Dublin hosts 69 Food Sharing Initiatives (FSIs), with the majority (34, or 49.3%) focused on food_sharing, followed by community_gardens (25, or 36.2%).",keyword 'majority' near 34 -> 49.28% of total=69 (<=50%),TP,
london,pipeline,CS-5,Geographic Distribution,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'per 1,000 residents' (src/phase_5/text_synthesizer.py:38,109)",TP,
london,pipeline,CS-5,Geographic Distribution,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'population of 220,000' (src/phase_5/text_synthesizer.py:38,109)",TP,
london,pipeline,CS-5,Geographic Distribution,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'per 1,000 residents' (src/phase_5/text_synthesizer.py:38,109)",TP,
london,pipeline,CS-5,Geographic Distribution,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'population of 330,000' (src/phase_5/text_synthesizer.py:38,109)",TP,
london,pipeline,CS-5,Geographic Distribution,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",TP,
london,pipeline,CS-2,Operational and Funding Models,"London hosts 106 Food Sharing Initiatives (FSIs), with the majority (43) being community-led grassroots efforts and 104 operating on a non-commercial basis, relying on voluntary or charitable work.",keyword 'majority' near 43 -> 40.57% of total=106 (<=50%),TP,
london,b1,CS-5,Geographic Distribution,"This disparity suggests that FSIs are more prevalent in areas with higher population densities, though the lack of per capita data limits deeper analysis of equity in access.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
