city,system,stated_total,n_words,n_flags,n_cs1,n_cs2,n_cs4,n_cs5,defects_per_1000_words,ci95_lower,ci95_upper
barcelona,pipeline,237,1308,1,0,0,0,1,0.765,0.019,4.26
barcelona,baseline,44,1381,0,0,0,0,0,0.0,0.0,2.671
brighton,pipeline,76,1192,2,0,0,0,2,1.678,0.203,6.061
brighton,baseline,30,1476,0,0,0,0,0,0.0,0.0,2.499
dublin,pipeline,69,1255,2,0,1,0,1,1.594,0.193,5.757
dublin,baseline,38,1683,0,0,0,0,0,0.0,0.0,2.192
london,pipeline,106,1244,6,0,1,0,5,4.823,1.77,10.498
london,baseline,34,1273,0,0,0,0,0,0.0,0.0,2.898
milan,pipeline,147,1319,6,0,3,1,2,4.549,1.669,9.901
milan,baseline,29,1332,0,0,0,0,0,0.0,0.0,2.769
barcelona,b1,237,1287,3,0,2,0,1,2.331,0.481,6.812
brighton,b1,76,1357,7,4,0,0,3,5.158,2.074,10.628
dublin,b1,69,1218,2,0,1,0,1,1.642,0.199,5.932
london,b1,106,1259,2,0,0,0,2,1.589,0.192,5.738
milan,b1,147,1260,4,0,1,1,2,3.175,0.865,8.128
barcelona,baseline_v2,47,1764,0,0,0,0,0,0.0,0.0,2.091
brighton,baseline_v2,24,1929,0,0,0,0,0,0.0,0.0,1.912
dublin,baseline_v2,36,2037,0,0,0,0,0,0.0,0.0,1.811
london,baseline_v2,33,1726,0,0,0,0,0,0.0,0.0,2.137
milan,baseline_v2,34,1639,0,0,0,0,0,0.0,0.0,2.251
