city,reason_bucket,n_urls_i_kept
barcelona,inaccessible,73
barcelona,not_an_fsi,64
barcelona,directory_or_policy_page,29
barcelona,outside_the_city,17
barcelona,duplicate,5
barcelona,activity_ended,3
brighton,inaccessible,14
brighton,directory_or_policy_page,13
brighton,activity_ended,11
brighton,not_an_fsi,8
brighton,duplicate,3
brighton,outside_the_city,3
dublin,inaccessible,19
dublin,not_an_fsi,8
dublin,directory_or_policy_page,3
dublin,outside_the_city,2
dublin,activity_ended,1
london,directory_or_policy_page,21
london,inaccessible,19
london,not_an_fsi,15
london,outside_the_city,10
london,activity_ended,4
london,duplicate,4
milan,not_an_fsi,43
milan,inaccessible,25
milan,directory_or_policy_page,18
milan,outside_the_city,14
milan,activity_ended,8
milan,duplicate,5
ALL_POOLED,activity_ended,27
ALL_POOLED,directory_or_policy_page,84
ALL_POOLED,duplicate,17
ALL_POOLED,inaccessible,150
ALL_POOLED,not_an_fsi,138
ALL_POOLED,outside_the_city,46
