item_id,url,city,MY_DECISION,MY_NOTE,SECONDS_SPENT
B001,https://ortopedagogicoresistente.wordpress.com/,milan,Retained,NOT_FSI,108
B002,https://www.methodist.org.uk/about/our-stories/addressing-food-poverty-one-community-at-a-time-kensal-rise-methodist-churchs-inspiring-initiative,london,Retained,OK,77
B003,https://www.sustainablemerton.org/communityfridge,london,Retained,OK,102
B004,https://www.facebook.com/Taplinsfields/,dublin,UNREACHABLE_NOW,social media wall ,72
B005,https://associazionerecup.org/,milan,Retained,OK,63
B006,https://www.fratellisanfrancesco.it/,milan,Discarded,NOT_FSI,91
B007,https://fonttrobada.wordpress.com/,barcelona,Retained,OK,118
B008,https://canbatllo.org/cb/horts-i-jardins-comunitaris/,barcelona,Retained,OK,41
B009,https://www.friendsofruskinpark.org.uk/communitygarden,london,Retained,OK,75
B010,https://www.sustainablefoodplaces.org/blogs/jan24-find-a-seed-swap-near-you,london,Retained,OK,91
B011,https://panequotidiano.eu/chi-siamo/,milan,Retained,OK,57
B012,https://laescocesa.org/ca/programa/casa%20de%20llavors,barcelona,Discarded,NOT_FSI,49
B013,https://www.boncor.org/,barcelona,UNREACHABLE_NOW,page will not load,44
B014,https://www.dublincommunitygrowers.ie/all-gardens/featured-gardens/muck-and-magic-community-garden/,dublin,Retained,OK,26
B015,https://bmecp.org.uk/bmecp-food-bank,brighton,UNREACHABLE_NOW,page not found,23
B016,https://womenscentre.org.uk/bwcs-foodbank-moves-location,brighton,Retained,OK,654
B017,https://clareville.net/pages/about.htm,dublin,Retained,OK,68
B018,https://orionecareireland.ie/,dublin,Discarded,NOT_FSI,45
B019,https://www.dublincommunitygrowers.ie/all-gardens/featured-gardens/serenity-community-garden/,dublin,Retained,OK,28
B020,https://restaurantsbrighton.co.uk/jobs/blog/the-real-junk-food-project,brighton,Retained,OK,37
B021,https://bucfp.org/,brighton,Retained,OK,38
B022,https://apps.apple.com/gb/app/too-good-to-go-end-food-waste/id1060683933,london,Discarded,COMMERCIAL - it is an app for saving food ,43
B023,https://www.foodmatters.org/blog/food-waste-to-food-use,brighton,Discarded,COMMERCIAL - an act to reduce food waste,65
B024,https://faresharesussexandsurrey.org.uk/contact,brighton,Retained,OK,15
B025,https://pamapam.org/directori/arrels-cooperativa-consum-critic-dreta-eixample/,barcelona,Discarded,DIRECTORY ,47
B026,https://www.granaidellamemoria.it/index.php/it/archivi/nutrire-milano-una-rete-di-produttori-locali-offrire-cibo-alla-citta,milan,Discarded,NOT_FSI,48
B027,https://nurturethroughnature.org/,brighton,Retained,OK,30
B028,https://hardwickestreetgardenclub.wordpress.com/,dublin,Retained,OK,26
B029,https://outofmyshed.co.uk/2012/09/23/collecting-seeds-pros-and-cons,london,Discarded,NOT_FSI,24
B030,https://mourneroad.ie/parish-history/mother-mcauley-centre,dublin,UNCLEAR,NOT_FSI,54
B031,https://womeninthefoodindustry.com/women-in-food-design-collaborate-to-support-nhs-lewes,brighton,Discarded,NOT_FSI,48
B032,https://www.fondazionebertini.it/,milan,Discarded,NOT_FSI,24
B033,https://globalactionplan.ie/programmes/community-garden,dublin,Retained,OK,23
B034,https://9bacull.org/festival-de-sopes-del-mon-2/,barcelona,Discarded,NOT_FSI,38
B035,https://www.belladentro.org/,milan,UNCLEAR,transforming food waste to usable food -  no indication if they share it,71
B036,https://isolapepeverde.org/,milan,Retained,OK,34
B037,https://www.restaurantlapau.com/en/,barcelona,Discarded,NOT_FSI,60
B038,https://www.tck.org.uk,london,Retained,OK,20
B039,https://www.in-deep.org.uk/community-dinners,london,Discarded,NOT_FSI,35
B040,https://slowfood.barcelona/index.php,barcelona,Discarded,NOT_FSI,22
