section,city,metric,value
screening,,n_total,31
screening,,n_tp,20
screening,,n_fp,7
screening,,n_unclear,4
screening,,precision_incl_unclear,0.6452
screening,,precision_excl_unclear,0.7407
per_city_rate,barcelona,n_words,1308
per_city_rate,barcelona,n_verified_errors,2
per_city_rate,barcelona,errors_per_1000_words,1.5291
per_city_rate,barcelona,ci95_lower,0.1852
per_city_rate,barcelona,ci95_upper,5.5235
per_city_rate,brighton,n_words,1192
per_city_rate,brighton,n_verified_errors,3
per_city_rate,brighton,errors_per_1000_words,2.5168
per_city_rate,brighton,ci95_lower,0.519
per_city_rate,brighton,ci95_upper,7.3551
per_city_rate,dublin,n_words,1255
per_city_rate,dublin,n_verified_errors,3
per_city_rate,dublin,errors_per_1000_words,2.3904
per_city_rate,dublin,ci95_lower,0.493
per_city_rate,dublin,ci95_upper,6.9859
per_city_rate,london,n_words,1244
per_city_rate,london,n_verified_errors,9
per_city_rate,london,errors_per_1000_words,7.2347
per_city_rate,london,ci95_lower,3.3082
per_city_rate,london,ci95_upper,13.7338
per_city_rate,milan,n_words,1319
per_city_rate,milan,n_verified_errors,3
per_city_rate,milan,errors_per_1000_words,2.2745
per_city_rate,milan,ci95_lower,0.469
per_city_rate,milan,ci95_upper,6.6469
pooled_rate,pooled,n_words,6318
pooled_rate,pooled,n_verified_errors,20
pooled_rate,pooled,errors_per_1000_words,3.1656
pooled_rate,pooled,ci95_lower,1.9336
pooled_rate,pooled,ci95_upper,4.8889
by_error_type,,internal_contradiction,5
by_error_type,,derived_incorrect,4
by_error_type,,misattributed_value,3
by_error_type,,invented_basis_and_arithmetic,2
by_error_type,,quantifier_error,2
by_error_type,,count_percent_conflation,1
by_error_type,,chart_text_mismatch,1
by_error_type,,possible_fabrication,1
by_error_type,,unverifiable_self_endorsement,1
cross_reference,,n_caught_by_both,5
cross_reference,,n_manual_only,15
e2_comparison,pooled,e2_verified_n,11
e2_comparison,pooled,e2_verified_rate_per_1000_words,1.7411
e2_comparison,pooled,e2_verified_ci95_lower,0.8691
e2_comparison,pooled,e2_verified_ci95_upper,3.1152
