city,field,mode,present,length,empty,error,confirmed_leakage_names_in_answer
barcelona,geographic_distribution,global,True,2164,False,,
barcelona,fsi_types,global,True,5249,False,,
barcelona,operational_levels,global,True,5416,False,,
barcelona,popularity,global,True,3812,False,,
barcelona,district_summaries,local,True,4709,False,,
barcelona,notable_initiatives,local,True,4580,False,,
brighton,geographic_distribution,global,True,1660,False,,
brighton,fsi_types,global,True,2285,False,,
brighton,operational_levels,global,True,2291,False,,
brighton,popularity,global,True,2829,False,,
brighton,district_summaries,local,True,2582,False,,
brighton,notable_initiatives,local,True,2442,False,,
dublin,geographic_distribution,global,True,1700,False,,
dublin,fsi_types,global,True,2888,False,,
dublin,operational_levels,global,True,3263,False,,
dublin,popularity,global,True,2769,False,,
dublin,district_summaries,local,True,2590,False,,
dublin,notable_initiatives,local,True,1687,False,,
london,geographic_distribution,global,True,2359,False,,
london,fsi_types,global,True,6159,False,,
london,operational_levels,global,True,5085,False,,
london,popularity,global,True,3692,False,,
london,district_summaries,local,True,5217,False,,
london,notable_initiatives,local,True,4365,False,,
milan,geographic_distribution,global,True,1965,False,,
milan,fsi_types,global,True,4711,False,,
milan,operational_levels,global,True,5692,False,,
milan,popularity,global,True,4083,False,,
milan,district_summaries,local,True,8763,False,,
milan,notable_initiatives,local,True,4313,False,,
